dbkey,tmaxZeroZone,hastargetcl,caplettersworddif,urlsim,sWordRatio,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,sPositiveZoneRatio,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,tmaxOneZone,sNegativeZoneRatio,hastargeturl,hassourcecl,tWordRatio,smaxZeroZone,hassourcetag,hassourcepunctuation,punctsim,nwordssource,smaxOneZone,tPositiveZoneRatio,tNegativeZoneRatio,hassourceurl
0-0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,19,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11,0.0,0.0,0.0,0.0
1-1,0.0,1.0,0.25,1.0,1.0,0.0,0,0.0,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.24,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9,1.0,1.0,0.0,0.0
2-2,0.5,1.0,0.0,1.0,1.0,0.0,1,0.0,31,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.93,1.0,1.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,8,1.0,0.5,0.5,0.0
3-3,0.0,1.0,0.0,1.0,1.0,0.0,0,0.0,27,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.19,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12,1.0,1.0,0.0,0.0
4-4,0.0,1.0,0.5,1.0,1.0,0.0,0,0.0,12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.45,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0
5-5,0.14,1.0,0.4,1.0,1.0,0.0,0,0.0,41,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.69,1.0,1.0,1.0,0.86,0.0,0.0,1.0,0.86,0.0,0.0,0.0,0.71,20,1.0,0.5,0.5,0.0
6-6,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0
7-7,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,13,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.31,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,16,1.0,1.0,0.0,0.0
8-8,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,68,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.26,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,66,1.0,1.0,0.0,0.0
9-9,0.0,1.0,0.5,1.0,0.0,0.0,0,0.0,82,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.44,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
