dbkey,tmaxZeroZone,hastargetcl,caplettersworddif,urlsim,sWordRatio,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,sPositiveZoneRatio,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,tmaxOneZone,sNegativeZoneRatio,hastargeturl,hassourcecl,tWordRatio,smaxZeroZone,hassourcetag,hassourcepunctuation,punctsim,nwordssource,smaxOneZone,tPositiveZoneRatio,tNegativeZoneRatio,hassourceurl
0-0,0.0,1.0,0.5,1.0,0.13,0.666666666667,0,0.0,54,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,6.71,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.67,0.0,0.0,0.0,307,0.08,1.0,0.0,0.0
1-1,0.07,1.0,0.0,1.0,0.93,0.0,1,0.0,116,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.0,1.0,0.0,0.0,0.19,1.0,1.0,1.0,0.8,0.33,0.0,1.0,0.93,0.07,0.0,0.0,1.0,111,0.47,0.67,0.33,0.0
2-2,0.03,1.0,0.0,1.0,0.94,0.0,1,0.0,188,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.66,1.0,1.0,1.0,0.85,0.5,0.0,1.0,0.97,0.03,0.0,0.0,1.0,170,0.49,0.67,0.33,0.0
3-3,0.04,1.0,0.0,1.0,0.96,0.0,1,0.0,136,0.0,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.63,1.0,1.0,1.0,0.58,0.33,0.0,1.0,0.96,0.04,0.0,0.0,0.45,118,0.65,0.67,0.33,0.0
4-4,0.02,1.0,0.0,1.0,1.0,0.0,1,0.0,285,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.38,0.0,0.0,1.0,0.91,0.0,0.0,0.0,1.0,277,1.0,0.56,0.44,0.0
5-5,0.03,1.0,0.4,1.0,0.78,0.0,1,0.0,180,0.0,0.0,0.0,0.0,0.55,0.0,1.0,0.0,1.0,0.0,0.0,0.44,1.0,1.0,1.0,0.57,0.45,0.0,1.0,0.93,0.06,0.0,0.0,0.89,166,0.28,0.6,0.4,0.0
6-6,0.0,1.0,0.125,1.0,1.0,0.0,1,0.0,108,0.288675134595,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.63,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,92,1.0,1.0,0.0,0.0
7-7,0.0,1.0,0.1,1.0,1.0,0.0,0,0.0,528,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.18,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,539,1.0,1.0,0.0,1.0
8-8,0.17,0.0,0.0,1.0,1.0,0.0,1,0.0,36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.44,1.0,1.0,1.0,0.83,0.0,0.0,0.0,0.83,0.0,0.0,0.0,1.0,44,1.0,0.5,0.5,0.0
9-9,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,16,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20,1.0,1.0,0.0,0.0
10-10,0.0,1.0,0.5,1.0,0.0,0.0,0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53,0.0,0.0,0.0,0.0
11-11,0.0,1.0,0.0,1.0,1.0,0.0,1,0.0,58,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,60,1.0,1.0,0.0,0.0
12-12,0.05,1.0,0.25,1.0,0.95,0.0,1,0.0,129,0.707106781187,1.0,0.0,0.0,0.67,1.0,1.0,0.0,1.0,0.0,0.0,0.49,1.0,1.0,1.0,0.73,0.33,0.0,1.0,0.95,0.05,0.0,0.0,1.0,116,0.76,0.67,0.33,0.0
