dbkey,hastargetcl,simscore,caplettersworddif,urlsim,onlycaplettersdif,category,hastargettag,nwordstarget,nersimilarity,hastargetnumber,same,langdif,hassourcenumber,numbersim,hastargetemail,hastargetnameentity,hassourceemail,hastargetpunctuation,cgscore,tagsim,hassourcenameentity,emailsim,hastargeturl,hassourcecl,hassourcetag,hassourcepunctuation,punctsim,nwordssource,hassourceurl
0-0,1.0,0.82,0.0,1.0,0.0,1,0.0,113,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,106,0.0
1-1,1.0,0.67,0.0,1.0,0.0,1,0.0,82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,64,0.0
2-2,1.0,0.63,0.0,1.0,0.0,1,0.0,128,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.58,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.65,110,0.0
3-3,1.0,0.81,0.0,1.0,0.0,1,0.0,109,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,90,0.0
4-4,1.0,0.49,0.25,1.0,0.0,1,0.0,68,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.17,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,44,0.0
5-5,0.0,1.0,0.0,1.0,0.0,1,0.0,22,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15,0.0
6-6,1.0,0.87,0.0,1.0,0.0,1,0.0,43,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.36,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,49,0.0
7-7,1.0,0.87,0.0,1.0,0.0,1,0.0,159,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.91,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,130,0.0
8-8,1.0,1.0,0.0,1.0,0.0,1,0.0,108,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,93,0.0
9-9,1.0,0.35,0.0,1.0,0.0,1,0.0,62,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.82,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,28,0.0
10-10,1.0,0.86,0.0,1.0,0.0,1,0.0,20,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,15,0.0
11-11,1.0,0.47,0.0,1.0,0.0,1,0.0,146,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.03,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.95,144,0.0
12-12,1.0,0.82,0.0,1.0,0.0,1,0.0,89,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.27,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,96,0.0
13-13,0.0,0.62,0.0,1.0,0.0,1,0.0,48,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,53,0.0
14-14,1.0,1.0,0.0,1.0,0.0,1,0.0,42,0.666666666667,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,45,0.0
15-15,1.0,0.82,0.0,1.0,0.0,1,0.0,189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.23,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,146,0.0
16-16,1.0,0.27,0.0,1.0,0.0,1,0.0,45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.06,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,44,0.0
17-17,1.0,0.89,0.0,1.0,0.0,1,0.0,64,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.55,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,51,0.0
